"utilizationRate","appliedCumulativeSupplyRateIndexE12","cumulativeSupplyRateIndexE12","currentSupplyRateE18","variableBorrowed","currentVariableBorrowRateE18","cumulativeVariableBorrowRateIndexE12","timestamp"
0.699336,1,1.00012095879,1.391694e-12,0.6994,1.990041e-12,1.000172800087,1668017281069
0.698672,1,1.000241215695,1.383414e-12,0.6988,1.980081e-12,1.000344769341,1668103681069
0.698008,1,1.000360771495,1.375148e-12,0.6982,1.970121e-12,1.000515907322,1668190081069
0.697345,1,1.000479627146,1.366905e-12,0.6976,1.960176e-12,1.000686213593,1668276481069
0.696681,1,1.000597784382,1.358665e-12,0.697,1.950216e-12,1.000855689016,1668362881069
0.696017,1,1.000715243211,1.350438e-12,0.6965,1.940256e-12,1.001024331861,1668449281069
0.695353,1,1.000832004507,1.342224e-12,0.6959,1.930296e-12,1.001192141697,1668535681069
0.694689,1,1.000948069146,1.334023e-12,0.6953,1.920336e-12,1.001359118094,1668622081069
0.694025,1,1.001063438007,1.325836e-12,0.6947,1.910376e-12,1.001525260625,1668708481069
0.693361,1,1.001178112056,1.317661e-12,0.6941,1.900416e-12,1.001690568866,1668794881069
0.692697,1,1.001292092089,1.3095e-12,0.6935,1.890456e-12,1.001855042393,1668881281069
0.692032,1,1.001405379077,1.301341e-12,0.693,1.880481e-12,1.002018680786,1668967681069
0.691368,1,1.001517972954,1.293206e-12,0.6924,1.870521e-12,1.002181482327,1669054081069
0.690704,1,1.001629875559,1.285084e-12,0.6918,1.860561e-12,1.002343447897,1669140481069
0.690039,1,1.001741087783,1.276965e-12,0.6912,1.850586e-12,1.002504577083,1669226881069
0.689375,1,1.001851609652,1.268869e-12,0.6906,1.840626e-12,1.002664868172,1669313281069
0.68871,1,1.001961442925,1.260776e-12,0.69,1.830651e-12,1.002824322053,1669399681069
0.688045,1,1.002070587633,1.252696e-12,0.6894,1.820676e-12,1.002982937018,1669486081069
0.687381,1,1.002179044672,1.244639e-12,0.6888,1.810716e-12,1.00314071266,1669572481069
0.686716,1,1.002286815808,1.236586e-12,0.6882,1.800741e-12,1.003297649874,1669658881069
0.686051,1,1.002393901163,1.228545e-12,0.6876,1.790766e-12,1.003453746958,1669745281069
0.685386,1,1.002500301554,1.220518e-12,0.6871,1.780791e-12,1.003609003512,1669831681069
0.684721,1,1.002606017972,1.212503e-12,0.6865,1.770816e-12,1.003763419137,1669918081069
0.684056,1,1.002711051238,1.204502e-12,0.6859,1.760841e-12,1.003916993437,1670004481069
0.683391,1,1.002815402346,1.196514e-12,0.6853,1.750866e-12,1.004069726018,1670090881069
0.682726,1,1.002919072207,1.188539e-12,0.6847,1.740891e-12,1.004221616488,1670177281069
0.68206,1,1.003022061734,1.180568e-12,0.6841,1.730901e-12,1.004372664456,1670263681069
0.681395,1,1.003124371062,1.172619e-12,0.6835,1.720926e-12,1.004522868234,1670350081069
0.680729,1,1.003226001886,1.164673e-12,0.6829,1.710936e-12,1.004672228737,1670436481069
0.680064,1,1.003326954258,1.156751e-12,0.6823,1.700961e-12,1.004820744279,1670522881069
0.679398,1,1.00342723005,1.148832e-12,0.6817,1.690971e-12,1.004968415781,1670609281069
0.678733,1,1.003526829317,1.140936e-12,0.6811,1.680996e-12,1.005115241561,1670695681069
0.678067,1,1.00362575385,1.133043e-12,0.6805,1.671006e-12,1.005261222543,1670782081069
0.677401,1,1.003724003707,1.125163e-12,0.6799,1.661016e-12,1.00540635705,1670868481069
